time,lift,roll,pitch
3.617000,29.210934,0.395940,-1.194860
3.628000,29.267778,0.677943,-1.241361
3.637000,29.294046,0.869810,-1.302335
3.648000,29.309937,0.984780,-1.319446
3.658000,29.353603,0.988752,-1.193685
3.668000,29.376789,0.917467,-0.956724
3.678000,29.362642,0.802972,-0.728444
3.688000,29.381170,0.750125,-0.545740
3.698000,29.369167,0.712228,-0.359434
3.708000,29.374174,0.579560,-0.161316
3.718000,29.384518,0.219435,-0.044293
3.728000,29.366375,-0.313270,-0.119240
3.738000,29.335728,-0.830564,-0.394987
3.749000,29.337603,-1.290409,-0.736206
3.759000,29.326290,-1.725898,-1.012023
3.769000,29.251665,-1.981567,-1.174564
3.779000,28.675812,-1.853047,-1.107509
3.789000,28.872877,-1.336008,-0.769822
3.799000,28.939009,-0.856803,-0.572449
3.809000,28.972744,-0.741443,-0.512653
3.819000,29.058409,-0.756149,-0.630140
3.829000,29.052227,-0.745146,-0.920980
3.839000,29.021591,-0.501326,-1.111098
3.849000,29.085770,-0.184429,-1.151181
3.860000,29.134644,-0.036422,-1.053803
3.870000,29.192915,-0.049783,-0.874061
3.880000,29.222996,-0.087381,-0.749221
3.890000,29.244101,-0.095854,-0.666749
3.900000,29.265123,-0.100795,-0.592541
3.910000,29.305693,-0.142061,-0.597131
3.920000,29.349751,-0.095515,-0.750283
3.930000,29.349550,0.000701,-1.038899
3.940000,29.349989,0.153596,-1.307442
3.950000,29.336592,0.398939,-1.514775
3.960000,29.305399,0.616511,-1.685076
3.970000,28.831398,0.581789,-1.750010
3.981000,29.038980,0.531664,-1.527625
3.991000,29.171806,0.472025,-1.274845
4.001000,29.205746,0.386934,-1.106938
4.011000,29.278267,0.307743,-1.058761
4.021000,29.334541,0.200588,-1.211832
4.031000,29.298248,0.090675,-1.434842
4.041000,29.265770,-0.094773,-1.562285
4.051000,29.326782,-0.350987,-1.522865
4.061000,29.370522,-0.606443,-1.335840
4.071000,29.378775,-0.788968,-1.174695
4.082000,29.387951,-0.822929,-1.073327
4.092000,29.386953,-0.817698,-0.996256
4.102000,29.397076,-0.815601,-1.010316
4.112000,29.414135,-0.744862,-1.118653
4.122000,29.405725,-0.671963,-1.445216
4.132000,29.402075,-0.611438,-1.616849
4.142000,29.361006,-0.573665,-1.682107
4.152000,29.312021,-0.511698,-1.648910
4.162000,28.673401,-0.313543,-1.392395
4.172000,28.916567,-0.348835,-1.081811
4.182000,29.013712,-0.652733,-0.911789
4.193000,29.054594,-0.939056,-0.850223
4.203000,29.135910,-1.163395,-0.896661
4.213000,29.172092,-1.283666,-1.079023
4.223000,29.143057,-1.208794,-1.245290
4.233000,29.146612,-1.029394,-1.284410
4.243000,29.236120,-0.951914,-1.187665
4.253000,29.265890,-1.008035,-0.998854
4.263000,29.259878,-1.243149,-0.868353
4.273000,29.310877,-1.480422,-0.800772
4.283000,29.338472,-1.701205,-0.727458
4.293000,29.364916,-1.866408,-0.685041
4.304000,29.396284,-1.977136,-0.752182
4.314000,29.396313,-2.031815,-0.977870
4.324000,29.406557,-1.927251,-1.242810
4.334000,29.383188,-1.746016,-1.431204
4.344000,29.357004,-1.573421,-1.573382
4.354000,29.308275,-1.422308,-1.692803
4.364000,28.848082,-1.359317,-1.656779
4.374000,29.084444,-1.543236,-1.408209
4.384000,29.136154,-1.833926,-1.283197
4.395000,29.178602,-1.838133,-1.244684
4.404000,29.246929,-1.797467,-1.366208
4.415000,29.213411,-1.719085,-1.609301
4.425000,29.166872,-1.755536,-1.733029
4.435000,29.214582,-1.887656,-1.674666
4.445000,29.253811,-1.969228,-1.485063
4.455000,29.263708,-1.991711,-1.206398
4.465000,29.268190,-1.936460,-1.000624
4.475000,29.264450,-1.883288,-0.805724
4.485000,29.263857,-1.854108,-0.680999
4.495000,29.266817,-1.811903,-0.646212
4.505000,29.261852,-1.788529,-0.735705
4.515000,29.238823,-1.798799,-0.966998
4.526000,29.219807,-1.829723,-1.197286
4.536000,29.181593,-1.887134,-1.357151
4.546000,29.116314,-1.875874,-1.431936
4.556000,28.599430,-1.587367,-1.257347
4.566000,28.844419,-1.575793,-0.986366
4.576000,28.866858,-1.728557,-0.831374
4.586000,28.939072,-1.875760,-0.785740
4.596000,29.016027,-2.001472,-0.897032
4.606000,29.013416,-2.006655,-1.110745
4.616000,28.958628,-1.802053,-1.246552
4.626000,28.994709,-1.515855,-1.255580
4.637000,29.087839,-1.305239,-1.137973
4.646000,29.110300,-1.246944,-0.976732
4.657000,29.129543,-1.277594,-0.902672
4.667000,29.180199,-1.327635,-0.849438
4.677000,29.203583,-1.290132,-0.886851
4.687000,29.248735,-1.274029,-1.022015
4.697000,29.253578,-1.312477,-1.293374
4.707000,29.263119,-1.222563,-1.593732
4.717000,29.257282,-0.910008,-1.818458
4.727000,29.224634,-0.631759,-1.977574
4.738000,29.187757,-0.515489,-2.017373
4.748000,28.804625,-0.653453,-1.816278
4.758000,29.081463,-0.637029,-1.542112
4.768000,29.143078,-0.598714,-1.395858
4.778000,29.177582,-0.502535,-1.340454
4.788000,29.233629,-0.394108,-1.402363
4.798000,29.253752,-0.295060,-1.572507
4.808000,29.234133,-0.293183,-1.686659
4.818000,29.252970,-0.329425,-1.681207
4.828000,29.264185,-0.305646,-1.541409
4.838000,29.262268,-0.253096,-1.325044
4.848000,29.252253,-0.220193,-1.147256
4.859000,29.233650,-0.208830,-0.990868
4.868000,29.211899,-0.112137,-0.784790
4.879000,29.213995,-0.076896,-0.627483
4.889000,29.197958,-0.141902,-0.583551
4.899000,29.155964,-0.204866,-0.712722
4.909000,29.113495,-0.243022,-0.930904
4.919000,29.067797,-0.265353,-1.165334
4.929000,29.011513,-0.249377,-1.315918
4.939000,28.574335,-0.297715,-1.354490
4.949000,28.696302,-0.258367,-1.169643
4.959000,28.818026,0.064144,-1.035257
4.969000,28.828203,0.245821,-1.016173
4.979000,28.921944,0.286799,-1.099184
4.989000,28.908937,0.309432,-1.330830
5.000000,28.824938,0.372404,-1.517637
5.010000,28.873608,0.487986,-1.525321
5.020000,28.977371,0.587157,-1.388729
5.030000,29.028109,0.648697,-1.223410
5.040000,29.048067,0.658298,-1.150879
5.050000,29.071163,0.663859,-1.127428
5.060000,29.099136,0.651651,-1.154147
5.070000,29.139540,0.634020,-1.287884
5.080000,29.189434,0.677049,-1.517386
5.091000,29.206715,0.766915,-1.795831
5.101000,29.220926,0.811486,-1.996372
5.111000,29.202084,0.805554,-2.136441
5.121000,29.173162,0.753865,-2.161196
5.131000,29.152775,0.510261,-1.928757
5.141000,28.798536,0.346508,-1.509391
5.151000,29.053211,0.567217,-1.255406
5.161000,29.081625,0.917946,-1.105842
5.171000,29.167822,1.200253,-1.060955
5.181000,29.210129,1.381337,-1.103071
5.191000,29.243071,1.483693,-1.222816
5.201000,29.233452,1.486321,-1.332454
5.212000,29.238405,1.439746,-1.301991
5.222000,29.246172,1.372870,-1.100432
5.232000,29.222002,1.209294,-0.871090
5.242000,29.198233,0.952295,-0.559103
5.252000,29.146969,0.842376,-0.294944
5.262000,29.123461,0.509803,-0.028145
5.272000,29.128466,-0.143143,0.106974
5.282000,29.126656,-0.943670,0.049382
5.292000,29.074913,-1.684706,-0.175422
5.302000,29.015341,-2.419277,-0.507517
5.312000,28.985960,-3.014106,-0.884690
5.323000,28.321642,-3.352426,-1.113905
5.333000,28.543695,-3.037070,-0.970867
5.343000,28.721779,-2.460845,-0.779591
5.353000,28.754612,-2.198522,-0.702977
5.363000,28.824657,-2.059230,-0.773332
5.373000,28.861786,-1.929896,-1.004678
5.383000,28.836935,-1.647999,-1.206583
5.394000,28.880501,-1.205743,-1.272361
5.403000,28.947523,-0.868440,-1.224275
5.413000,29.020790,-0.655951,-1.110976
5.423000,29.061478,-0.508487,-1.080776
5.434000,29.097834,-0.348131,-1.125338
5.444000,29.143705,-0.165226,-1.212520
5.454000,29.181534,-0.067373,-1.393922
5.464000,29.261795,0.006690,-1.652243
5.474000,29.281197,0.138009,-1.867865
5.484000,29.276947,0.265792,-2.040085
5.496000,29.254738,0.372422,-2.140972
5.504000,29.222197,0.430079,-2.091743
5.514000,29.206318,0.320366,-1.814651
5.525000,28.882385,0.195253,-1.446360
5.535000,29.121006,0.580599,-1.302418
5.545000,29.163843,0.998951,-1.196341
5.555000,29.234175,1.180110,-1.196009
5.565000,29.276680,1.178184,-1.282531
5.575000,29.271877,1.160825,-1.392634
5.585000,29.246092,1.088793,-1.449137
5.595000,29.285305,0.952240,-1.370078
5.605000,29.300392,0.740762,-1.180298
5.615000,29.270475,0.507882,-0.954088
5.626000,29.273678,0.250988,-0.787047
5.636000,29.260775,0.027938,-0.648305
5.646000,29.242594,-0.092634,-0.553163
5.656000,29.236771,-0.195815,-0.556828
5.666000,29.224337,-0.259184,-0.698428
5.676000,29.209814,-0.260003,-1.005181
5.686000,29.205585,-0.308880,-1.241527
5.696000,29.130850,-0.377952,-1.348062
5.706000,29.059076,-0.310327,-1.335323
5.716000,28.476837,0.101033,-1.028091
5.727000,28.771835,0.310644,-0.665396
5.737000,28.730457,0.363565,-0.461023
5.747000,28.857544,0.247278,-0.393520
5.757000,28.895695,0.082068,-0.586876
5.767000,28.884756,-0.014259,-0.846656
5.777000,28.852262,0.053626,-1.008846
5.787000,28.911760,0.133136,-1.008614
5.797000,29.002565,0.134635,-0.839113
5.807000,29.005346,0.080753,-0.674018
5.817000,29.040554,-0.057843,-0.570164
5.827000,29.077934,-0.124263,-0.497536
5.837000,29.109165,-0.209765,-0.488221
5.847000,29.172220,-0.295517,-0.577393
5.857000,29.188097,-0.363260,-0.831876
5.867000,29.204762,-0.376141,-1.163593
5.877000,29.214842,-0.221832,-1.435778
5.887000,29.184151,-0.029353,-1.641156
5.898000,29.141468,0.064145,-1.768645
5.908000,28.695810,-0.052721,-1.657109
5.918000,28.970394,-0.144014,-1.344734
5.928000,29.061121,-0.272135,-1.120688
5.938000,29.093555,-0.330811,-0.995514
5.948000,29.167587,-0.311898,-1.007571
5.958000,29.207483,-0.292410,-1.195309
5.968000,29.165571,-0.349693,-1.439250
5.978000,29.152622,-0.498493,-1.509733
5.988000,29.219189,-0.682827,-1.407589
5.998000,29.243443,-0.827167,-1.193005
6.009000,29.243752,-0.950816,-1.009568
6.019000,29.253746,-1.033523,-0.874623
6.029000,29.250961,-1.074303,-0.771404
6.039000,29.254499,-1.069822,-0.735698
6.049000,29.266384,-1.053705,-0.812093
6.059000,29.250681,-1.077216,-1.060178
6.069000,29.240454,-1.055413,-1.343677
6.079000,29.210939,-1.081661,-1.543451
6.090000,29.151073,-1.127148,-1.653607
6.099000,28.920847,-1.007826,-1.584952
6.110000,28.681946,-0.768934,-1.258368
6.120000,28.902563,-0.880213,-0.987186
6.130000,28.891750,-1.054525,-0.859456
6.140000,28.991962,-1.236295,-0.840682
6.150000,29.030462,-1.378469,-1.010416
6.160000,29.020456,-1.408006,-1.245559
6.170000,28.994141,-1.266829,-1.397719
6.180000,29.042971,-1.085914,-1.405719
6.190000,29.129890,-0.994470,-1.266996
6.201000,29.140228,-1.065407,-1.104615
6.210000,29.169563,-1.244178,-1.013720
6.221000,29.218727,-1.409292,-0.945827
6.231000,29.239338,-1.479563,-0.947564
6.241000,29.279264,-1.589778,-1.018037
6.251000,29.296223,-1.668505,-1.210395
6.261000,29.311831,-1.615114,-1.464690
6.271000,29.306963,-1.423035,-1.652672
6.281000,29.294357,-1.188446,-1.783007
6.291000,29.259527,-1.091168,-1.856905
6.302000,28.776524,-1.167401,-1.778433
6.311000,29.003426,-1.293289,-1.546036
6.322000,29.114813,-1.455407,-1.366407
6.332000,29.142088,-1.508779,-1.311768
6.342000,29.219028,-1.377308,-1.467316
6.352000,29.181614,-1.306793,-1.674949
6.362000,29.155857,-1.324820,-1.758878
6.372000,29.194319,-1.383782,-1.675624
6.382000,29.213217,-1.412034,-1.468945
6.392000,29.195686,-1.368946,-1.222971
6.402000,29.198397,-1.313515,-1.047804
6.413000,29.192656,-1.293901,-0.897746
6.422000,29.190086,-1.295502,-0.792524
6.433000,29.188145,-1.272836,-0.778714
6.443000,29.176516,-1.228135,-0.866164
